style|description|mood|keywords|best_for|colors|typography_mood
Neubrutalism|Modern geometric forms with soft edges|edgy,professional|bold,minimal,geometric|startups,tech,modern brands|dark grey,white,accent colors|bold sans-serif
Soft UI Evolution|Subtle depth with soft shadows|premium,calm|soft,refined,elegant|wellness,luxury,premium services|pastels,neutrals,metallics|elegant serif
Glassmorphism|Frosted glass effect with transparency|modern,premium|transparent,layered,sophisticated|SaaS,dashboards,fintech|light,translucent,subtle|clean sans-serif
Minimalism|Extreme simplicity and clarity|clean,trustworthy|minimal,white-space,essential|enterprise,healthcare,documentation|white,black,single accent|minimal sans-serif
Cyberpunk|Neon and high contrast digital|edgy,futuristic|neon,dark,bold,tech|gaming,crypto,entertainment|neon colors,black,cyber-purple|futuristic,angular
Claymorphism|3D clay-like soft forms|playful,approachable|soft,friendly,3D,rounded|education,apps,SaaS|warm,rounded,soft|friendly sans-serif
Brutalism|Raw,bold,industrial aesthetic|strong,powerful|bold,raw,geometric,industrial|portfolios,creative,editorial|dark,earth tones,concrete|bold serif or sans-serif
Dark Mode OLED|Optimized for OLED screens|modern,tech|dark,contrast,efficiency|apps,coding platforms,gaming|near-black,bright accents|clean monospace or sans
Retro Futurism|80s-90s design with modern twist|nostalgic,fun|retro,vibrant,geometric|entertainment,music,gaming|neon,pastels,vintage colors|bold retro fonts
Bento Grid|Modular card-based layout|modern,organized|structured,modular,balanced|dashboards,portfolios,products|varied,high contrast|modern sans-serif
